carrier,procedure,cpt,policy_title,url,doc_is_public,cpt_verified,effective_date,notes
Aetna (CVS Health),Lumbar microdiscectomy / decompression,63030,Spinal Surgery: Laminectomy and Fusion (CPB 0743),https://www.aetna.com/cpb/medical/data/700_799/0743.html,True,True,rev 2026-07-30,63030 listed; same CPB.
Aetna (CVS Health),Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,MRI of the Extremities (CPB 0171) + MRI/CT of the Spine (CPB 0236),https://www.aetna.com/cpb/medical/data/100_199/0171.html,True,True,rev 2026-03/04,Knee 73721 & shoulder (73218-73223 range) on CPB 0171; lumbar 72148 on CPB 0236 (https://www.aetna.com/cpb/medical/data/200_299/0236.html).
Cigna,Total knee arthroplasty (TKA),27447,Cigna CMM-311 Knee Replacement/Arthroplasty (via eviCore),https://www.evicore.com/sites/default/files/clinical-guidelines/2025-11/Cigna_CMM-311%20Knee%20Replacement%20Arthroplasty_V2.0.2025_Eff03.07.2026_Pub11.21.2025.pdf,True,True,2026-03-07,MSK delegated to eviCore; on-domain copy cignaforhcp.cigna.com is WAF-blocked.
Cigna,Total hip arthroplasty (THA),27130,Cigna CMM-313 Hip Replacement/Arthroplasty (via eviCore),https://www.evicore.com/sites/default/files/clinical-guidelines/2025-11/Cigna_CMM-313%20Hip%20Replacement%20Arthro_V2.0.2025_Eff03.07.2026_Pub11.21.2025.pdf,True,True,2026-03-07,eviCore-hosted Cigna policy.
Cigna,Arthroscopic rotator cuff repair,29827,Cigna CMM-315 Shoulder Surgery Arthroscopic/Open (via eviCore),https://www.evicore.com/sites/default/files/clinical-guidelines/2025-11/Cigna_CMM-315%20Shoulder%20Surg%20Arthro%20Open%20Proc_V2.0.2025_Eff03.07.2026_Pub11.21.2025.pdf,True,True,2026-03-07,29827 present.
Cigna,Total shoulder arthroplasty,23472,Cigna CMM-318 Shoulder Arthroplasty (via eviCore),https://www.evicore.com/sites/default/files/clinical-guidelines/2025-12/Cigna_CMM-318_Shoulder%20Arthro%20Replace%20Revision_V2.0.2025_Eff03.07.2026_Pub12.11.2025.pdf,True,True,2026-03-07,23472 present.
Cigna,ACL reconstruction,29888,Cigna CMM-312 Knee Surgery Arthroscopic/Open (via eviCore),https://www.evicore.com/sites/default/files/clinical-guidelines/2025-12/Cigna_CMM-312%20Knee%20Surg%20Arthro%20&%20Open%20Proc_eff03.07.2026_pub12.11.2025.pdf,True,True,2026-03-07,29888 present.
Cigna,Lumbar fusion,22612,Cigna CMM-609 Lumbar Fusion (via eviCore),https://www.evicore.com/sites/default/files/clinical-guidelines/2025-11/Cigna%20CMM-609%20Lumbar%20Fusion_Final_V2.0.2025_Eff12.18.2025_pub11.18.2025.pdf,True,True,2025-12-18,22612 present.
Cigna,Cervical fusion / ACDF,22551,Cigna Medical Coverage Policy 0527 Cervical Fusion,https://static.cigna.com/assets/chcp/pdf/coveragePolicies/medical/mm_0527_coveragepositioncriteria_cervical_fusion.pdf,True,True,2020-06-15,On static.cigna.com (own domain); 22551 present.
Cigna,Total ankle arthroplasty,27702,Cigna Medical Coverage Policy 0285 Total Ankle Arthroplasty,https://static.cigna.com/assets/chcp/pdf/coveragePolicies/medical/mm_0285_coveragepositioncriteria_total_ankle_arthroplasty.pdf,True,True,2026-03-15,On static.cigna.com; 27702 present.
Cigna,Bunionectomy / hallux valgus,28296,Cigna Medical Coverage Policy 0304 Bunionectomy,https://cignaforhcp.cigna.com/public/content/pdf/coveragePolicies/medical/mm_0304_coveragepositioncriteria_bunionectomy.pdf,False,False,,Policy appears retired/legacy (absent from current A-Z index) and not machine-verifiable. Treat as no current verifiable Cigna policy.
Cigna,Hip arthroscopy,29914-29916,Cigna CMM-314 Hip Surgery Arthroscopic/Open (via eviCore),https://www.evicore.com/sites/default/files/clinical-guidelines/2025-11/Cigna_CMM-314%20Hip%20Surg%20Arthro%20Open%20Proc_V2.0.2025_Eff03.07.2026_Pub11.21.2025.pdf,True,True,2026-03-07,29914/29915/29916 present.
Cigna,Lumbar microdiscectomy / decompression,63030,Cigna CMM-606 Lumbar Microdiscectomy (via eviCore),https://www.evicore.com/sites/default/files/clinical-guidelines/2024-12/Cigna_CMM-606%20Lumb%20Microdis_Final_V1.1.2024.pdf,True,True,2024-12-27,63030 present; CMM-608 covers broader decompression.
Cigna,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,Cigna MSK Imaging Guidelines + Spine Imaging Guidelines (via eviCore),https://www.evicore.com/sites/default/files/clinical-guidelines/2025-10/Cigna_Musculoskeletal%20Imaging%20Guidelines_V1.0.2026_eff02.03.2026_PUB10.29.2025.pdf,True,True,2026-02-03,73721 & 73221 in MSK guidelines; 72148 in Spine Imaging Guidelines (companion eviCore PDF).
Elevance / Anthem BCBS,Total knee arthroplasty (TKA),27447,Clinical Appropriateness Guidelines: Joint Surgery (Carelon),https://files.providernews.anthem.com/2520/PDF-Joint-Surgery-2023-11-05.pdf,True,True,2023-11-05,"TKA section; 27447 in prior same-series version, appendix truncated in current."
Elevance / Anthem BCBS,Total hip arthroplasty (THA),27130,Clinical Appropriateness Guidelines: Joint Surgery (Carelon),https://files.providernews.anthem.com/2520/PDF-Joint-Surgery-2023-11-05.pdf,True,True,2023-11-05,27130 total hip arthroplasty present.
Elevance / Anthem BCBS,Arthroscopic rotator cuff repair,29827,Clinical Appropriateness Guidelines: Joint Surgery (Carelon),https://files.providernews.anthem.com/2520/PDF-Joint-Surgery-2023-11-05.pdf,True,True,2023-11-05,29827 present.
Elevance / Anthem BCBS,Total shoulder arthroplasty,23472,Clinical Appropriateness Guidelines: Joint Surgery (Carelon),https://files.providernews.anthem.com/2520/PDF-Joint-Surgery-2023-11-05.pdf,True,True,2023-11-05,23472 total shoulder present.
Elevance / Anthem BCBS,ACL reconstruction,29888,,,False,False,,No dedicated Anthem/Carelon guideline for ACL; 29888 not in Joint Surgery knee section. Medical necessity.
Elevance / Anthem BCBS,Lumbar fusion,22612,Clinical Appropriateness Guidelines: Spine Surgery (Carelon),https://files.providernews.anthem.com/4827/pdf-Spine-Surgery-2024-10-20.pdf,True,False,2024-10-20,Correct governing doc (Lumbar Fusion section); base code 22612 in appendix but not literally sighted (add-on 22614 seen).
Elevance / Anthem BCBS,Cervical fusion / ACDF,22551,Clinical Appropriateness Guidelines: Spine Surgery (Carelon),https://files.providernews.anthem.com/4827/pdf-Spine-Surgery-2024-10-20.pdf,True,True,2024-10-20,22551 cervical ACDF present verbatim.
Elevance / Anthem BCBS,Total ankle arthroplasty,27702,Clinical Appropriateness Guidelines: Small Joint Surgery (Carelon),https://files.providernews.anthem.com/2519/PDF-Small-Joint-Surgery-2023-11-05.pdf,True,True,2023-11-05,27702 total ankle present verbatim.
Elevance / Anthem BCBS,Bunionectomy / hallux valgus,28296,Clinical Appropriateness Guidelines: Small Joint Surgery (Carelon),https://files.providernews.anthem.com/2519/PDF-Small-Joint-Surgery-2023-11-05.pdf,True,True,2023-11-05,28296 bunionectomy present verbatim.
Elevance / Anthem BCBS,Hip arthroscopy,29914-29916,Clinical Appropriateness Guidelines: Joint Surgery (Carelon),https://files.providernews.anthem.com/2520/PDF-Joint-Surgery-2023-11-05.pdf,True,True,2023-11-05,29914-29916 hip arthroscopy present.
Elevance / Anthem BCBS,Lumbar microdiscectomy / decompression,63030,Clinical Appropriateness Guidelines: Spine Surgery (Carelon),https://files.providernews.anthem.com/4827/pdf-Spine-Surgery-2024-10-20.pdf,True,False,2024-10-20,Correct doc (Lumbar Discectomy/Laminotomy section); base 63030 in appendix but not literally sighted (add-on 63035 seen).
Elevance / Anthem BCBS,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,Imaging of the Extremities + Imaging of the Spine (Carelon),https://files.providernews.anthem.com/4819/PDF-Imaging-of-the-Extremities-2024-10-20.pdf,True,True,2024-10-20,Knee 73721 & shoulder 73221 in Extremities doc (table truncated in fetch); lumbar 72148 verbatim in Imaging of the Spine (https://files.providernews.anthem.com/4816/PDF-Imaging-of-the-Spine-2024-10-20.pdf).
Humana,Total knee arthroplasty (TKA),27447,Knee Arthroplasty - Medicare Advantage,https://mcp.humana.com/tad/tad_new/Search.aspx?criteria=27447&searchtype=freetext&policyType=both,True,True,2026-03-16,Verified via Humana's own claims-code search (code->policy). Policy opens as PDF via portal.
Humana,Total hip arthroplasty (THA),27130,Hip Arthroplasty - Medicare Advantage,https://mcp.humana.com/tad/tad_new/Search.aspx?criteria=27130&searchtype=freetext&policyType=both,True,True,2026-03-16,Humana code search confirms 27130.
Humana,Arthroscopic rotator cuff repair,29827,Shoulder Arthroscopy - Medicare Advantage,https://mcp.humana.com/tad/tad_new/Search.aspx?criteria=29827&searchtype=freetext&policyType=both,True,True,2026-01-02,29827 confirmed.
Humana,Total shoulder arthroplasty,23472,Shoulder Arthroplasty - Medicare Advantage,https://mcp.humana.com/tad/tad_new/Search.aspx?criteria=23472&searchtype=freetext&policyType=both,True,True,2025-08-01,23472 confirmed (revised version eff 2026-08-03 also exists).
Humana,ACL reconstruction,29888,Knee Arthroscopy - Medicare Advantage,https://mcp.humana.com/tad/tad_new/Search.aspx?criteria=29888&searchtype=freetext&policyType=both,True,True,2026-05-01,29888 confirmed.
Humana,Lumbar fusion,22612,Spinal Fusion Surgery - Medicare Advantage,https://mcp.humana.com/tad/tad_new/Search.aspx?criteria=22612&searchtype=freetext&policyType=both,True,True,2026-05-01,22612 confirmed.
Humana,Cervical fusion / ACDF,22551,Spinal Fusion Surgery - Medicare Advantage,https://mcp.humana.com/tad/tad_new/Search.aspx?criteria=22551&searchtype=freetext&policyType=both,True,True,2026-05-01,22551 confirmed; same policy.
Humana,Total ankle arthroplasty,27702,,,False,False,,No dedicated Humana policy indexes 27702 ('no matching records'). Follows CMS/medical necessity.
Humana,Bunionectomy / hallux valgus,28296,Foot Surgical Procedures - Medicare Advantage,https://mcp.humana.com/tad/tad_new/Search.aspx?criteria=28296&searchtype=freetext&policyType=both,True,True,2025-09-02,28296 confirmed; commercial 'Bunion' PDF at assets.humana.com also lists it.
Humana,Hip arthroscopy,29914-29916,Hip Arthroscopy - Medicare Advantage,https://mcp.humana.com/tad/tad_new/Search.aspx?criteria=29914&searchtype=freetext&policyType=both,True,True,2026-01-02,29914 & 29916 confirmed.
Humana,Lumbar microdiscectomy / decompression,63030,Spinal Decompression Surgery - Medicare Advantage,https://mcp.humana.com/tad/tad_new/Search.aspx?criteria=63030&searchtype=freetext&policyType=both,True,True,2026-02-02,63030 confirmed.
Humana,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,Upper/Lower Extremity MRI - MA (knee/shoulder) + Advanced Imaging of the Spine - MA (lumbar),https://mcp.humana.com/tad/tad_new/Search.aspx?criteria=73721&searchtype=freetext&policyType=both,True,True,2026-07-01,Extremity MRI covers 73721 & 73221; lumbar 72148 in Advanced Imaging of the Spine (criteria=72148). All confirmed via code search.
Centene (Ambetter/WellCare),Total knee arthroplasty (TKA),27447,Ambetter/Centene Joint Surgery UR Matrix (Evolent/NIA),https://www.ambetterhealth.com/content/dam/centene/home-state-health/ambetter/pdfs/Health-Joint-Surgery%20Evolent-UTIL-Ambetter.pdf,True,True,2024,MSK delegated to Evolent; 27447 in matrix. Clinical criteria in Evolent MSK guidelines.
Centene (Ambetter/WellCare),Total hip arthroplasty (THA),27130,Ambetter/Centene Joint Surgery UR Matrix (Evolent/NIA),https://www.ambetterhealth.com/content/dam/centene/home-state-health/ambetter/pdfs/Health-Joint-Surgery%20Evolent-UTIL-Ambetter.pdf,True,True,2024,27130 in matrix.
Centene (Ambetter/WellCare),Arthroscopic rotator cuff repair,29827,Ambetter/Centene Joint Surgery UR Matrix (Evolent/NIA),https://www.ambetterhealth.com/content/dam/centene/home-state-health/ambetter/pdfs/Health-Joint-Surgery%20Evolent-UTIL-Ambetter.pdf,True,True,2024,29827 in matrix.
Centene (Ambetter/WellCare),Total shoulder arthroplasty,23472,Ambetter/Centene Joint Surgery UR Matrix (Evolent/NIA),https://www.ambetterhealth.com/content/dam/centene/home-state-health/ambetter/pdfs/Health-Joint-Surgery%20Evolent-UTIL-Ambetter.pdf,True,True,2024,23472 in matrix.
Centene (Ambetter/WellCare),ACL reconstruction,29888,Ambetter/Centene Joint Surgery UR Matrix (Evolent/NIA),https://www.ambetterhealth.com/content/dam/centene/home-state-health/ambetter/pdfs/Health-Joint-Surgery%20Evolent-UTIL-Ambetter.pdf,True,True,2024,29888 in matrix.
Centene (Ambetter/WellCare),Lumbar fusion,22612,"Centene Spine Surgery UR Matrix 2026 (Evolent/NIA, on RadMD)",https://www1.radmd.com/sites/default/files/2025-12/Centene%20AL%20Ambetter%20of%20Alabama%20Spine%20Surgery%20Utilization%20Review%20Matrix%202026%2001.01.26.pdf,True,True,2026-01-01,"22612 in matrix; example state AL, matrix shared."
Centene (Ambetter/WellCare),Cervical fusion / ACDF,22551,"Centene Spine Surgery UR Matrix 2026 (Evolent/NIA, on RadMD)",https://www1.radmd.com/sites/default/files/2025-12/Centene%20AL%20Ambetter%20of%20Alabama%20Spine%20Surgery%20Utilization%20Review%20Matrix%202026%2001.01.26.pdf,True,True,2026-01-01,22551 in matrix.
Centene (Ambetter/WellCare),Total ankle arthroplasty,27702,,,False,False,,Foot/ankle outside Evolent MSK scope; no dedicated Centene policy. Standard medical necessity (InterQual/MCG).
Centene (Ambetter/WellCare),Bunionectomy / hallux valgus,28296,,,False,False,,Foot/ankle outside Evolent MSK scope; no dedicated Centene policy.
Centene (Ambetter/WellCare),Hip arthroscopy,29914-29916,Ambetter/Centene Joint Surgery UR Matrix (Evolent/NIA),https://www.ambetterhealth.com/content/dam/centene/home-state-health/ambetter/pdfs/Health-Joint-Surgery%20Evolent-UTIL-Ambetter.pdf,True,True,2024,29914-29916 in matrix (FAI grouping).
Centene (Ambetter/WellCare),Lumbar microdiscectomy / decompression,63030,"Centene Spine Surgery UR Matrix 2026 (Evolent/NIA, on RadMD)",https://www1.radmd.com/sites/default/files/2025-12/Centene%20AL%20Ambetter%20of%20Alabama%20Spine%20Surgery%20Utilization%20Review%20Matrix%202026%2001.01.26.pdf,True,True,2026-01-01,63030 in matrix.
Centene (Ambetter/WellCare),Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,Ambetter/Centene Advanced Imaging UR Matrix (Evolent/NIA),https://www1.radmd.com/sites/default/files/2024-12/Ambetter%20from%20MHS%20-%20CPT%20Matrix%202025%20-%20Evolent.pdf,True,True,2025,"73721, 73221, 72148 all in matrix."
HCSC (BCBS IL/TX/NM/OK/MT),Total knee arthroplasty (TKA),27447,,,False,False,,No dedicated HCSC medical policy for TKA; managed via standard benefits/prior auth.
HCSC (BCBS IL/TX/NM/OK/MT),Total hip arthroplasty (THA),27130,,,False,False,,No dedicated HCSC policy for primary THA (Hip Resurfacing SUR705.019 is a different procedure).
HCSC (BCBS IL/TX/NM/OK/MT),Arthroscopic rotator cuff repair,29827,,,False,False,,No dedicated HCSC policy for rotator cuff repair.
HCSC (BCBS IL/TX/NM/OK/MT),Total shoulder arthroplasty,23472,,,False,False,,No dedicated HCSC shoulder arthroplasty policy (Shoulder Resurfacing SUR705.032 is different).
HCSC (BCBS IL/TX/NM/OK/MT),ACL reconstruction,29888,,,False,False,,No dedicated HCSC ACL policy.
HCSC (BCBS IL/TX/NM/OK/MT),Lumbar fusion,22612,Lumbar Spinal Fusion (SUR712.036),https://medicalpolicy.bcbstx.com/content/dam/bcbs/medicalpolicy/pdf/surgery/SUR712.036_2024-11-15.pdf,True,True,2024-11-15,22612 confirmed in coding section.
HCSC (BCBS IL/TX/NM/OK/MT),Cervical fusion / ACDF,22551,Cervical Spinal Fusion (SUR712.041),https://medicalpolicy.bcbstx.com/content/dam/bcbs/medicalpolicy/pdf/surgery/SUR712.041_2023-05-01.pdf,True,True,2023-05-01,22551 confirmed.
HCSC (BCBS IL/TX/NM/OK/MT),Total ankle arthroplasty,27702,Total Ankle Replacement (SUR705.021),https://medicalpolicy.bcbstx.com/content/dam/bcbs/medicalpolicy/pdf/surgery/SUR705.021_2024-07-15.pdf,True,True,2024-07-15,27702 confirmed.
HCSC (BCBS IL/TX/NM/OK/MT),Bunionectomy / hallux valgus,28296,,,False,False,,No dedicated HCSC bunionectomy policy.
HCSC (BCBS IL/TX/NM/OK/MT),Hip arthroscopy,29914-29916,Surgical Treatment of Femoroacetabular Impingement (SUR705.029),,True,True,,Policy is public on HCSC portal; 29914-29916 mapped to SUR705.029 per HCSC's official Medical Policy Reference List. Direct dated PDF URL not resolvable; not guessing it.
HCSC (BCBS IL/TX/NM/OK/MT),Lumbar microdiscectomy / decompression,63030,,,False,False,,No dedicated HCSC policy for standard microdiscectomy/decompression (Image-Guided MILD SUR712.035 is a different procedure).
HCSC (BCBS IL/TX/NM/OK/MT),Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,,,False,False,,No dedicated HCSC RAD policy for routine MSK MRI; advanced imaging via PA vendor.
Molina Healthcare,Total knee arthroplasty (TKA),27447,,,False,False,,"No Molina MCP for primary TKA; via MCG and, in Evolent markets, Evolent Joint Surgery (RadMD login-gated)."
Molina Healthcare,Total hip arthroplasty (THA),27130,,,False,False,,No Molina MCP for primary THA; via MCG / Evolent (login-gated).
Molina Healthcare,Arthroscopic rotator cuff repair,29827,Molina Clinical Policy MCP-404 Shoulder Arthroscopy,https://www.molinahealthcare.com/-/media/Molina/PublicWebsite/PDF/Providers/il/resource/Shoulder-Arthroscopy-Guidelines_MCP_404.pdf,True,True,2021-06-09,29827 in coding table; criteria defer to MCG.
Molina Healthcare,Total shoulder arthroplasty,23472,,,False,False,,23472 not in MCP-404 (arthroscopy-only). No Molina arthroplasty MCP; via MCG/Evolent.
Molina Healthcare,ACL reconstruction,29888,,,False,False,,No Molina knee-arthroscopy/ACL MCP; 29888 via MCG.
Molina Healthcare,Lumbar fusion,22612,Molina Complete Care Spine Surgery UR Matrix (NIA/Evolent),https://www.molinahealthcare.com/providers/az/medicaid/forms/~/media/Molina/PublicWebsite/PDF/Providers/az/AZ-WEBP-19442-21%202021%20NIA%20Spine%20Surgery%20UM%20Review%20Matrix%20FINAL_R,True,True,2021,22612 in Molina-hosted PA matrix (AZ 2021); clinical criteria via Evolent/RadMD (login-gated).
Molina Healthcare,Cervical fusion / ACDF,22551,Molina Complete Care Spine Surgery UR Matrix (NIA/Evolent),https://www.molinahealthcare.com/providers/az/medicaid/forms/~/media/Molina/PublicWebsite/PDF/Providers/az/AZ-WEBP-19442-21%202021%20NIA%20Spine%20Surgery%20UM%20Review%20Matrix%20FINAL_R,True,True,2021,22551 in same matrix.
Molina Healthcare,Total ankle arthroplasty,27702,,,False,False,,No Molina MCP for total ankle replacement; via MCG.
Molina Healthcare,Bunionectomy / hallux valgus,28296,Molina Clinical Policy MCP-700 Foot Surgery: Bunionectomy,https://www.molinahealthcare.com/-/media/Molina/PublicWebsite/PDF/Providers/oh/medicaid/policies/MCP-700-Foot-Surgery-Bunionectomy-0823.pdf,True,True,2023-04-13,28296 in coding table (OH edition).
Molina Healthcare,Hip arthroscopy,29914-29916,,,False,False,,No Molina hip-arthroscopy MCP; 29914-29916 via MCG.
Molina Healthcare,Lumbar microdiscectomy / decompression,63030,Molina Complete Care Spine Surgery UR Matrix (NIA/Evolent),https://www.molinahealthcare.com/providers/az/medicaid/forms/~/media/Molina/PublicWebsite/PDF/Providers/az/AZ-WEBP-19442-21%202021%20NIA%20Spine%20Surgery%20UM%20Review%20Matrix%20FINAL_R,True,True,2021,63030 in matrix; via Evolent (login-gated).
Molina Healthcare,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,Molina MCP-633 Lower Extremity MRI + MCR-621 Lumbar Spine MRI (shoulder via NIA matrix),https://www.molinahealthcare.com/~/media/Molina/PublicWebsite/PDF/Common/Molina%20Clinical%20Policy/Lower%20Extremity%20MRI.pdf,True,True,2021-12-08,Knee 73721 in MCP-633; lumbar 72148 in MCR-621 (Lumbar Spine MRI PDF); shoulder 73221 in Molina-hosted NIA matrix.
Florida Blue / GuideWell,Total knee arthroplasty (TKA),27447,Knee Arthroplasty (MCG 02-20000-60),https://mcgs.bcbsfl.com/MCG?mcgId=02-20000-60&pv=false,True,True,2026-05-15,27447 in Billing/Coding.
Florida Blue / GuideWell,Total hip arthroplasty (THA),27130,Hip Arthroplasty (MCG 02-20000-50),https://mcgs.bcbsfl.com/MCG?mcgId=02-20000-50&pv=false,True,True,2025-02-15,27130 confirmed.
Florida Blue / GuideWell,Arthroscopic rotator cuff repair,29827,Site of Service Review for Select Surgical Procedures (MCG 08-00000-01),https://mcgs.bcbsfl.com/MCG?mcgId=08-00000-01&pv=false,True,True,2026-01-01,No dedicated rotator-cuff MCG; 29827 only in site-of-service MCG.
Florida Blue / GuideWell,Total shoulder arthroplasty,23472,,,False,False,,Florida Blue has NO MCG covering 23472 (0 results in carrier full-text search).
Florida Blue / GuideWell,ACL reconstruction,29888,"Knee Arthroscopy and Open, Non-Arthroplasty Knee Repair (MCG 02-20000-65)",https://mcgs.bcbsfl.com/MCG?mcgId=02-20000-65&pv=false,True,True,2026-06-15,29888 in Billing/Coding.
Florida Blue / GuideWell,Lumbar fusion,22612,Thoracic and Lumbar Spine Surgery (MCG 02-20000-48),https://mcgs.bcbsfl.com/MCG?mcgId=02-20000-48&pv=false,True,True,2025-06-15,22612 confirmed.
Florida Blue / GuideWell,Cervical fusion / ACDF,22551,Cervical Spine Surgery (MCG 02-20000-45),https://mcgs.bcbsfl.com/MCG?mcgId=02-20000-45&pv=false,True,True,2026-04-15,22551 confirmed.
Florida Blue / GuideWell,Total ankle arthroplasty,27702,Total Ankle Replacement (MCG 02-99221-15),https://mcgs.bcbsfl.com/MCG?mcgId=02-99221-15&pv=false,True,True,2026-04-15,27702 confirmed.
Florida Blue / GuideWell,Bunionectomy / hallux valgus,28296,Site of Service Review for Select Surgical Procedures (MCG 08-00000-01),https://mcgs.bcbsfl.com/MCG?mcgId=08-00000-01&pv=false,True,True,2026-01-01,No dedicated bunionectomy MCG; 28296 only in site-of-service MCG.
Florida Blue / GuideWell,Hip arthroscopy,29914-29916,"Hip Arthroscopy and Open, Non-Arthroplasty Hip Repair (MCG 02-20000-55)",https://mcgs.bcbsfl.com/MCG?mcgId=02-20000-55&pv=false,True,True,2026-02-15,29914-29916 confirmed.
Florida Blue / GuideWell,Lumbar microdiscectomy / decompression,63030,Thoracic and Lumbar Spine Surgery (MCG 02-20000-48),https://mcgs.bcbsfl.com/MCG?mcgId=02-20000-48&pv=false,True,True,2025-06-15,63030 confirmed; same spine MCG.
