state,insurance_company,plan_type,surgery,cpt,status,policy_title,effective_date,policy_url,note
Alabama,UnitedHealthcare,Commercial/ACA,Total shoulder replacement,23472,NO PUBLIC CRITERIA (vendor),Surgery of the Shoulder (2026T0556FF),"January 1, 2026",https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/surgery-shoulder.pdf,Defers to InterQual CP: Procedures (Arthroscopy Shoulder; Joint Replacement Shoulder); no public MN criteria for these codes.
Alabama,UnitedHealthcare,Commercial/ACA,Shoulder labral / instability repair,29806,NOT RESEARCHED (procedure not in research set),,,,
Alabama,UnitedHealthcare,Commercial/ACA,Total ankle replacement,27702,NO PUBLIC CRITERIA (vendor),Surgery of the Ankle (2026T0622O),"July 1, 2026",https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/surgery-ankle.pdf,"Defers to InterQual CP: Procedures: Total Joint Replacement (TJR), Ankle; no public MN criteria."
Alabama,UnitedHealthcare,Commercial/ACA,Bunion surgery (hallux valgus),28296,NO PUBLIC CRITERIA (vendor),Surgery of the Foot (2026T0624O),"January 1, 2026",https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/surgery-foot.pdf,"Bunionectomy/hallux valgus defers to InterQual CP: Procedures (Osteotomy, Distal Transpositional, First MT); public criteria in doc cover hallux rigidus/limitus, not 28296."
Alabama,UnitedHealthcare,Commercial/ACA,Lower back (lumbar) fusion,22612,NO PUBLIC CRITERIA (vendor),Spinal Fusion and Decompression (2026T0639I),2026-04-01,https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/spinal-fusion-decompression.pdf,"UHC 2026T0639I; the doc is real but criteria are outsourced to InterQual (proprietary, not in the public document)."
Alabama,UnitedHealthcare,Commercial/ACA,Neck (cervical) fusion (ACDF),22551,NO PUBLIC CRITERIA (vendor),Spinal Fusion and Decompression (2026T0639I),2026-04-01,https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/spinal-fusion-decompression.pdf,"UHC 2026T0639I; the doc is real but criteria are outsourced to InterQual (proprietary, not in the public document)."
Alabama,UnitedHealthcare,Commercial/ACA,Lower back disc surgery / decompression,63030,NO PUBLIC CRITERIA (vendor),Spinal Fusion and Decompression (2026T0639I),2026-04-01,https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/spinal-fusion-decompression.pdf,"UHC 2026T0639I; the doc is real but criteria are outsourced to InterQual (proprietary, not in the public document)."
Alabama,Humana,Commercial/ACA,Total knee replacement,27447,NO PUBLIC CRITERIA (vendor),Knee Arthroplasty - Medicare Advantage,3/16/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=K,"Policy exists (eff 3/16/2026, reviewed 10/14/2025) but is only reachable via mcp.humana.com TAD search interface; result links are JavaScript postbacks, no stable public URL to the"
Alabama,Humana,Commercial/ACA,Partial knee replacement,27446,NOT RESEARCHED (procedure not in research set),,,,
Alabama,Humana,Commercial/ACA,ACL reconstruction,29888,NO PUBLIC CRITERIA (vendor),Knee Arthroscopy - Medicare Advantage,5/1/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=K,"'Knee Arthroscopy - Medicare Advantage' (eff 5/1/2026, reviewed 4/14/2026) is the apparent governing policy for arthroscopically assisted ACL reconstruction; document only reachabl"
Alabama,Humana,Commercial/ACA,Knee arthroscopy / meniscus surgery,29881,NOT RESEARCHED (procedure not in research set),,,,
Alabama,Humana,Commercial/ACA,Total hip replacement,27130,NO PUBLIC CRITERIA (vendor),Hip Arthroplasty - Medicare Advantage,3/16/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=H,"Policy exists (eff 3/16/2026, reviewed 10/14/2025) but only via TAD search interface; links are JS postbacks, no stable public URL."
Alabama,Humana,Commercial/ACA,Hip arthroscopy,29914,NO PUBLIC CRITERIA (vendor),Hip Arthroscopy - Medicare Advantage,1/2/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=H,"Policy exists (eff 1/2/2026, reviewed 12/9/2025) but only via TAD search interface; no stable public URL."
Alabama,Humana,Commercial/ACA,Rotator cuff repair,29827,NO PUBLIC CRITERIA (vendor),Shoulder Arthroscopy - Medicare Advantage,1/2/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=S,"'Shoulder Arthroscopy - Medicare Advantage' (eff 1/2/2026, reviewed 12/9/2025) is the apparent governing policy for arthroscopic rotator cuff repair; document only reachable via TA"
Alabama,Humana,Commercial/ACA,Total shoulder replacement,23472,NO PUBLIC CRITERIA (vendor),Shoulder Arthroplasty - Medicare Advantage,8/3/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=S,"Policy exists (eff 8/3/2026, reviewed 7/14/2026) but only via TAD search interface; no stable public URL."
Alabama,Humana,Commercial/ACA,Shoulder labral / instability repair,29806,NOT RESEARCHED (procedure not in research set),,,,
Alabama,Humana,Commercial/ACA,Total ankle replacement,27702,NOT FOUND,,,https://mcp.humana.com/tad/tad_new/home.aspx,"Browsed Humana TAD medical policy lists for letters A, B, E, F, H, J, K, L, M, S, T: no ankle arthroplasty/replacement policy exists in the index; no Humana MCP identified for 2770"
Alabama,Humana,Commercial/ACA,Bunion surgery (hallux valgus),28296,NO PUBLIC CRITERIA (vendor),Foot Surgical Procedures - Medicare Advantage,9/2/2025,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=F,"'Foot Surgical Procedures - Medicare Advantage' (eff 9/2/2025, reviewed 8/12/2025) is the apparent governing policy for bunionectomy; document only reachable via TAD postback, no s"
Alabama,Humana,Commercial/ACA,Lower back (lumbar) fusion,22612,NO PUBLIC CRITERIA (vendor),Spinal Fusion Surgery - Medicare Advantage,5/1/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=S,"Policy exists (eff 5/1/2026, reviewed 4/14/2026); state Medicaid variants 'Spinal Fusion and Stabilization Surgery' (IN/MI/SC/VA/OH/KY/OK, eff 6-8/2026) also listed. Only via TAD s"
Alabama,Humana,Commercial/ACA,Neck (cervical) fusion (ACDF),22551,NO PUBLIC CRITERIA (vendor),Spinal Fusion Surgery - Medicare Advantage,5/1/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=S,'Spinal Fusion Surgery - Medicare Advantage' (eff 5/1/2026) is the apparent governing policy for cervical fusion; cervical-specific inclusion not directly confirmable because TAD l
Alabama,Humana,Commercial/ACA,Lower back disc surgery / decompression,63030,NO PUBLIC CRITERIA (vendor),Spinal Decompression Surgery - Medicare Advantage,2/2/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=S,"Policy exists (eff 2/2/2026, reviewed 1/13/2026); state Medicaid 'Spinal Decompression Surgery' variants also listed. Only via TAD search interface, no stable public URL."
Alabama,Aetna,Commercial/ACA,Total knee replacement,27447,VERIFIED,Knee Arthroplasty (CPB 0660),Last Review Date: 2026-02-26,https://www.aetna.com/cpb/medical/data/600_699/0660.html,verified in sweep 1
Alabama,Aetna,Commercial/ACA,Partial knee replacement,27446,NOT RESEARCHED (procedure not in research set),,,,
Alabama,Aetna,Commercial/ACA,ACL reconstruction,29888,CODE ONLY,Allograft Transplants of the Extremities (CPB 0364),Last Review Date: 2026-05-15,https://www.aetna.com/cpb/medical/data/300_399/0364.html,This is an allograft-transplant policy; it lists 29888 among ligament allograft codes but states no medical-necessity indications/conservative-care/imaging criteria for ACL reconst
Alabama,Aetna,Commercial/ACA,Knee arthroscopy / meniscus surgery,29881,NOT RESEARCHED (procedure not in research set),,,,
Alabama,Aetna,Commercial/ACA,Total hip replacement,27130,VERIFIED,Hip Arthroplasty (CPB 0287),Last Review Date: 2026-07-17,https://www.aetna.com/cpb/medical/data/200_299/0287.html,verified in sweep 1
Alabama,Aetna,Commercial/ACA,Hip arthroscopy,29914,VERIFIED,Hip Preservation Surgery (CPB 0736),Last Review Date: 2026-07-31,https://www.aetna.com/cpb/medical/data/700_799/0736.html,verified in sweep 1
Alabama,Aetna,Commercial/ACA,Rotator cuff repair,29827,NOT FOUND,,,,
Alabama,Aetna,Commercial/ACA,Total shoulder replacement,23472,VERIFIED,Shoulder Arthroplasty and Arthrodesis (CPB 0837),"Last Review Date: June 25, 2026",https://www.aetna.com/cpb/medical/data/800_899/0837.html,verified in sweep 1
Alabama,Aetna,Commercial/ACA,Shoulder labral / instability repair,29806,NOT RESEARCHED (procedure not in research set),,,,
Alabama,Aetna,Commercial/ACA,Total ankle replacement,27702,VERIFIED,Total Ankle Arthroplasty (CPB 0645),Last Review Date: 2026-05-15,https://www.aetna.com/cpb/medical/data/600_699/0645.html,verified in sweep 1
Alabama,Aetna,Commercial/ACA,Bunion surgery (hallux valgus),28296,VERIFIED,Bunionectomy (CPB 0629),Last Review Date: 2025-12-11,https://www.aetna.com/cpb/medical/data/600_699/0629.html,verified in sweep 1
Alabama,Aetna,Commercial/ACA,Lower back (lumbar) fusion,22612,VERIFIED,Spinal Surgery: Laminectomy and Fusion (CPB 0743),2026-07-30,https://www.aetna.com/cpb/medical/data/700_799/0743.html,verified in sweep 1
Alabama,Aetna,Commercial/ACA,Neck (cervical) fusion (ACDF),22551,VERIFIED,Spinal Surgery: Laminectomy and Fusion (CPB 0743),2026-07-30,https://www.aetna.com/cpb/medical/data/700_799/0743.html,verified in sweep 1
Alabama,Aetna,Commercial/ACA,Lower back disc surgery / decompression,63030,VERIFIED,Spinal Surgery: Laminectomy and Fusion (CPB 0743),2026-07-30,https://www.aetna.com/cpb/medical/data/700_799/0743.html,verified in sweep 1
Alabama,Cigna,Commercial/ACA,Total knee replacement,27447,VERIFIED,Cigna CMM-311 Knee Replacement/Arthroplasty (via eviCore),2026-03-07,https://www.evicore.com/sites/default/files/clinical-guidelines/2025-11/Cigna_CMM-311%20Knee%20Replacement%20Arthroplasty_V2.0.2025_Eff03.07.2026_Pub11.21.2025.pdf,verified in sweep 1
Alabama,Cigna,Commercial/ACA,Partial knee replacement,27446,NOT RESEARCHED (procedure not in research set),,,,
Alabama,Cigna,Commercial/ACA,ACL reconstruction,29888,VERIFIED,Cigna CMM-312 Knee Surgery Arthroscopic/Open (via eviCore),"March 07, 2026",https://www.evicore.com/sites/default/files/clinical-guidelines/2025-12/Cigna_CMM-312%20Knee%20Surg%20Arthro%20&%20Open%20Proc_eff03.07.2026_pub12.11.2025.pdf,verified in sweep 1
Alabama,Cigna,Commercial/ACA,Knee arthroscopy / meniscus surgery,29881,NOT RESEARCHED (procedure not in research set),,,,
Alabama,Cigna,Commercial/ACA,Total hip replacement,27130,VERIFIED,Cigna CMM-313 Hip Replacement/Arthroplasty (via eviCore),"Effective Date: March 7, 2026; Published: 2025-11-21",https://www.evicore.com/sites/default/files/clinical-guidelines/2025-11/Cigna_CMM-313%20Hip%20Replacement%20Arthro_V2.0.2025_Eff03.07.2026_Pub11.21.2025.pdf,verified in sweep 1
Alabama,Cigna,Commercial/ACA,Hip arthroscopy,29914,VERIFIED,Cigna CMM-314 Hip Surgery Arthroscopic/Open (via eviCore),"March 07, 2026",https://www.evicore.com/sites/default/files/clinical-guidelines/2025-11/Cigna_CMM-314%20Hip%20Surg%20Arthro%20Open%20Proc_V2.0.2025_Eff03.07.2026_Pub11.21.2025.pdf,verified in sweep 1
Alabama,Cigna,Commercial/ACA,Rotator cuff repair,29827,VERIFIED,Cigna CMM-315 Shoulder Surgery Arthroscopic/Open (via eviCore),"March 07, 2026",https://www.evicore.com/sites/default/files/clinical-guidelines/2025-11/Cigna_CMM-315%20Shoulder%20Surg%20Arthro%20Open%20Proc_V2.0.2025_Eff03.07.2026_Pub11.21.2025.pdf,verified in sweep 1
Alabama,Cigna,Commercial/ACA,Total shoulder replacement,23472,VERIFIED,Cigna CMM-318 Shoulder Arthroplasty (via eviCore),"March 07, 2026",https://www.evicore.com/sites/default/files/clinical-guidelines/2025-12/Cigna_CMM-318_Shoulder%20Arthro%20Replace%20Revision_V2.0.2025_Eff03.07.2026_Pub12.11.2025.pdf,verified in sweep 1
Alabama,Cigna,Commercial/ACA,Shoulder labral / instability repair,29806,NOT RESEARCHED (procedure not in research set),,,,
Alabama,Cigna,Commercial/ACA,Total ankle replacement,27702,VERIFIED,Cigna Medical Coverage Policy 0285 Total Ankle Arthroplasty,3/15/2026,https://static.cigna.com/assets/chcp/pdf/coveragePolicies/medical/mm_0285_coveragepositioncriteria_total_ankle_arthroplasty.pdf,verified in sweep 1
Alabama,Cigna,Commercial/ACA,Bunion surgery (hallux valgus),28296,NOT FOUND,,,,
Alabama,Cigna,Commercial/ACA,Lower back (lumbar) fusion,22612,VERIFIED,Cigna CMM-609 Lumbar Fusion (via eviCore),"December 18, 2025",https://www.evicore.com/sites/default/files/clinical-guidelines/2025-11/Cigna%20CMM-609%20Lumbar%20Fusion_Final_V2.0.2025_Eff12.18.2025_pub11.18.2025.pdf,verified in sweep 1
Alabama,Cigna,Commercial/ACA,Neck (cervical) fusion (ACDF),22551,VERIFIED,Cigna Medical Coverage Policies - Musculoskeletal: CMM-601 Anterior Cervical Discectomy and Fusion (V1.0.2026),08/04/2026,https://www.evicore.com/sites/default/files/clinical-guidelines/2026-04/Cigna_CMM-601%20Ant%20Cerv%20Discec%20%26%20Fusion_V1.0.2026_Eff08.04.2026_Pub04.28.2026.pdf,"Current replacement for stale mm_0527 (2020). CPT 22551 confirmed in codes table. Related current docs: CMM-604 Posterior Cervical Fusion and CMM-605 Cervical Microdiscectomy, both"
Alabama,Cigna,Commercial/ACA,Lower back disc surgery / decompression,63030,VERIFIED,"Cigna Medical Coverage Policies - Musculoskeletal: CMM-606 Lumbar Microdiscectomy (Laminotomy, Laminectomy, or Hemilaminectomy) (V1.0.2026)",08/04/2026,https://www.evicore.com/sites/default/files/clinical-guidelines/2026-04/Cigna_CMM-606%20Lumbar%20Microdiscectomy_V1.0.2026_Eff08.04.2026_Pub04.30.2026.pdf,"Current version (V1.0.2026, eff 08/04/2026, pub 04/30/2026). CPT 63030 confirmed in codes table. CMM-608 Lumbar Decompression (same eff date) also available for laminectomy-only ca"
Alabama,Viva Health,Commercial/ACA,Total knee replacement,27447,NOT RESEARCHED (regional payer),,,,
Alabama,Viva Health,Commercial/ACA,Partial knee replacement,27446,NOT RESEARCHED (regional payer),,,,
Alabama,Viva Health,Commercial/ACA,ACL reconstruction,29888,NOT RESEARCHED (regional payer),,,,
Alabama,Viva Health,Commercial/ACA,Knee arthroscopy / meniscus surgery,29881,NOT RESEARCHED (regional payer),,,,
Alabama,Viva Health,Commercial/ACA,Total hip replacement,27130,NOT RESEARCHED (regional payer),,,,
Alabama,Viva Health,Commercial/ACA,Hip arthroscopy,29914,NOT RESEARCHED (regional payer),,,,
Alabama,Viva Health,Commercial/ACA,Rotator cuff repair,29827,NOT RESEARCHED (regional payer),,,,
Alabama,Viva Health,Commercial/ACA,Total shoulder replacement,23472,NOT RESEARCHED (regional payer),,,,
Alabama,Viva Health,Commercial/ACA,Shoulder labral / instability repair,29806,NOT RESEARCHED (regional payer),,,,
Alabama,Viva Health,Commercial/ACA,Total ankle replacement,27702,NOT RESEARCHED (regional payer),,,,
Alabama,Viva Health,Commercial/ACA,Bunion surgery (hallux valgus),28296,NOT RESEARCHED (regional payer),,,,
Alabama,Viva Health,Commercial/ACA,Lower back (lumbar) fusion,22612,NOT RESEARCHED (regional payer),,,,
Alabama,Viva Health,Commercial/ACA,Neck (cervical) fusion (ACDF),22551,NOT RESEARCHED (regional payer),,,,
Alabama,Viva Health,Commercial/ACA,Lower back disc surgery / decompression,63030,NOT RESEARCHED (regional payer),,,,
Alabama,Ambetter,Commercial/ACA,Total knee replacement,27447,NO PUBLIC CRITERIA (vendor),,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/,"No corporate CP.MP clinical policy exists for TKA. Ambetter states: 'Ambetter Health utilizes InterQual criteria for those medical technologies, procedures or pharmaceutical treatm"
Alabama,Ambetter,Commercial/ACA,Partial knee replacement,27446,NOT RESEARCHED (procedure not in research set),,,,
Alabama,Ambetter,Commercial/ACA,ACL reconstruction,29888,NO PUBLIC CRITERIA (vendor),,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/,No CP.MP policy; InterQual per Ambetter statement; ACL repair listed in TurningPoint MSK program (criteria by request only).
Alabama,Ambetter,Commercial/ACA,Knee arthroscopy / meniscus surgery,29881,NOT RESEARCHED (procedure not in research set),,,,
Alabama,Ambetter,Commercial/ACA,Total hip replacement,27130,NO PUBLIC CRITERIA (vendor),,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/,"No CP.MP policy for THA in Ambetter clinical policy manual; defers to InterQual, with MSK surgery PA delegated to TurningPoint (GA/TX and others) or Evolent (MO); vendor criteria n"
Alabama,Ambetter,Commercial/ACA,Hip arthroscopy,29914,NO PUBLIC CRITERIA (vendor),,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/,No CP.MP policy for hip arthroscopy/FAI; InterQual per Ambetter statement; arthroscopic procedures listed in TurningPoint MSK program (criteria by request only).
Alabama,Ambetter,Commercial/ACA,Rotator cuff repair,29827,NO PUBLIC CRITERIA (vendor),,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/,No CP.MP policy; InterQual per Ambetter statement; rotator cuff repair listed in TurningPoint MSK Surgical Quality and Safety Management program (criteria by request only).
Alabama,Ambetter,Commercial/ACA,Total shoulder replacement,23472,NO PUBLIC CRITERIA (vendor),,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/,No CP.MP policy; InterQual per Ambetter statement; shoulder arthroplasty listed in TurningPoint MSK program (criteria by request only).
Alabama,Ambetter,Commercial/ACA,Shoulder labral / instability repair,29806,NOT RESEARCHED (procedure not in research set),,,,
Alabama,Ambetter,Commercial/ACA,Total ankle replacement,27702,NO PUBLIC CRITERIA (vendor),,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/,No CP.MP policy; InterQual per Ambetter statement; ankle arthroplasty listed in TurningPoint MSK program (criteria by request only).
Alabama,Ambetter,Commercial/ACA,Bunion surgery (hallux valgus),28296,NO PUBLIC CRITERIA (vendor),,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/,No CP.MP policy for bunionectomy/hallux valgus; defaults to InterQual per Ambetter statement.
Alabama,Ambetter,Commercial/ACA,Lower back (lumbar) fusion,22612,NO PUBLIC CRITERIA (vendor),,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/,No CP.MP policy for lumbar fusion (spine CP.MPs cover only decompression/injection procedures); InterQual per Ambetter statement; spinal fusion listed in TurningPoint MSK program (
Alabama,Ambetter,Commercial/ACA,Neck (cervical) fusion (ACDF),22551,NO PUBLIC CRITERIA (vendor),,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/,No CP.MP policy for cervical fusion; InterQual per Ambetter statement; cervical fusion listed in TurningPoint MSK program (criteria by request only).
Alabama,Ambetter,Commercial/ACA,Lower back disc surgery / decompression,63030,VERIFIED,Clinical Policy: Disc Decompression Procedures (CP.MP.114),Date of Last Revision: 04/25,https://www.ambetterhealth.com/content/dam/centene/ambetteril/clinical-policies/CP.MP.114.pdf,Criteria section addresses open discectomy/microdiscectomy for radiculopathy. Caveat: coding table lists 62287 (percutaneous) as supporting coverage and does not enumerate 63030. S
Alabama,Medicare,Medicare / Medicare Advantage,Total knee replacement,27447,VERIFIED (CMS LCD/NCD),Total Joint Arthroplasty (L33456),06/15/2023,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?LCDId=33456,"Single Palmetto GBA LCD 'Total Joint Arthroplasty' covers JJ (AL/GA/TN) and JM (NC/SC/VA/WV); active, revision eff 06/15/2023; includes TKA and THA indications (verified in CMS MCD"
Alabama,Medicare,Medicare / Medicare Advantage,Partial knee replacement,27446,NOT RESEARCHED (procedure not in research set),,,,
Alabama,Medicare,Medicare / Medicare Advantage,ACL reconstruction,29888,NO LCD — general medical necessity,CMS Medicare Coverage Database (no LCD for this procedure),,https://www.cms.gov/medicare-coverage-database,no active LCD in any jurisdiction — general medical-necessity review. No MAC LCD or billing article for 29888/anterior cruciate ligament reconstruction found in MCD.
Alabama,Medicare,Medicare / Medicare Advantage,Knee arthroscopy / meniscus surgery,29881,NOT RESEARCHED (procedure not in research set),,,,
Alabama,Medicare,Medicare / Medicare Advantage,Total hip replacement,27130,VERIFIED (CMS LCD/NCD),Total Joint Arthroplasty (L33456),06/15/2023,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?LCDId=33456,"Single Palmetto GBA LCD 'Total Joint Arthroplasty' covers JJ (AL/GA/TN) and JM (NC/SC/VA/WV); active, revision eff 06/15/2023; includes TKA and THA indications (verified in CMS MCD"
Alabama,Medicare,Medicare / Medicare Advantage,Hip arthroscopy,29914,NO LCD — general medical necessity,CMS Medicare Coverage Database (no LCD for this procedure),,https://www.cms.gov/medicare-coverage-database,"no active LCD in any jurisdiction — general medical-necessity review. Searches for 29914/29915/29916, hip arthroscopy, and femoroacetabular impingement return only Total Joint Arth"
Alabama,Medicare,Medicare / Medicare Advantage,Rotator cuff repair,29827,NO LCD — general medical necessity,CMS Medicare Coverage Database (no LCD for this procedure),,https://www.cms.gov/medicare-coverage-database,no active LCD in any jurisdiction — general medical-necessity review. Checked MCD via cms.gov site search and Coverage API (2026-08-18); only Total Shoulder Arthroplasty LCDs (e.g.
Alabama,Medicare,Medicare / Medicare Advantage,Total shoulder replacement,23472,VERIFIED (CMS LCD/NCD),LCD L39956 - Total Shoulder Arthroplasty,03/27/2025,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39956,Only MAC with a TSA LCD; fetched current version.
Alabama,Medicare,Medicare / Medicare Advantage,Shoulder labral / instability repair,29806,NOT RESEARCHED (procedure not in research set),,,,
Alabama,Medicare,Medicare / Medicare Advantage,Total ankle replacement,27702,NO LCD — general medical necessity,CMS Medicare Coverage Database (no LCD for this procedure),,https://www.cms.gov/medicare-coverage-database,no active LCD in any jurisdiction — general medical-necessity review. MAC 'Total Joint Arthroplasty' LCDs explicitly cover hip/knee only: Palmetto L33456 and WPS L39911 state they 
Alabama,Medicare,Medicare / Medicare Advantage,Bunion surgery (hallux valgus),28296,NO LCD — general medical necessity,CMS Medicare Coverage Database (no LCD for this procedure),,https://www.cms.gov/medicare-coverage-database,no active LCD in any jurisdiction — general medical-necessity review. Verified (not assumed): cms.gov site-restricted searches for bunion/bunionectomy/hallux valgus/hammertoe/foot 
Alabama,Medicare,Medicare / Medicare Advantage,Lower back (lumbar) fusion,22612,VERIFIED (CMS LCD/NCD),LCD L37848 - Lumbar Spinal Fusion,05/06/2019 (rev. eff. 09/12/2024),https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37848,"Only MAC with an active lumbar fusion LCD (corroborated by UHC MA Spine Procedures policy, 08/01/2026). Companion billing article A56396."
Alabama,Medicare,Medicare / Medicare Advantage,Neck (cervical) fusion (ACDF),22551,VERIFIED (CMS LCD/NCD),LCD L39773 - Cervical Fusion,07/14/2024 (rev. eff. 01/16/2025),https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39773,Part of the 2024 multi-MAC collaborative cervical fusion LCD family.
