layer,who,surgery,cpt,status,scope,policy_title,effective,url
Commercial/ACA,Independence Blue Cross,Arthroscopic rotator cuff repair,29827,PENDING,National,,,
Commercial/ACA,Independence Blue Cross,Bunionectomy / hallux valgus,28296,PENDING,National,,,
Commercial/ACA,Independence Blue Cross,Cervical fusion / ACDF,22551,PENDING,National,,,
Commercial/ACA,Independence Blue Cross,Hip arthroscopy,29914-29916,PENDING,National,,,
Commercial/ACA,Independence Blue Cross,Lumbar fusion,22612,PENDING,National,,,
Commercial/ACA,Independence Blue Cross,Lumbar microdiscectomy / decompression,63030,PENDING,National,,,
Commercial/ACA,Independence Blue Cross,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,PENDING,National,,,
Commercial/ACA,Independence Blue Cross,Total ankle arthroplasty,27702,PENDING,National,,,
Commercial/ACA,Independence Blue Cross,Total hip arthroplasty (THA),27130,PENDING,National,,,
Commercial/ACA,Independence Blue Cross,Total knee arthroplasty (TKA),27447,PENDING,National,,,
Commercial/ACA,Independence Blue Cross,Total shoulder arthroplasty,23472,PENDING,National,,,
Medicaid,Massachusetts,All 12 procedures,,PENDING,Massachusetts,,,
Medicaid,North Carolina,All 12 procedures,,PENDING,North Carolina,,,
Commercial/ACA,Aetna (CVS Health),ACL reconstruction,29888,NOT FOUND,National,,,
Commercial/ACA,Aetna (CVS Health),Arthroscopic rotator cuff repair,29827,NOT FOUND,National,,,
Commercial/ACA,BCBS Michigan,Bunionectomy / hallux valgus,28296,NOT FOUND,National,,,
Commercial/ACA,BCBS North Carolina,ACL reconstruction,29888,NOT FOUND,National,,,
Commercial/ACA,Blue Shield of California,ACL reconstruction,29888,NOT FOUND,National,,,
Commercial/ACA,Blue Shield of California,Bunionectomy / hallux valgus,28296,NOT FOUND,National,,,
Commercial/ACA,Blue Shield of California,Total ankle arthroplasty,27702,NOT FOUND,National,,,
Commercial/ACA,Blue Shield of California,Total shoulder arthroplasty,23472,NOT FOUND,National,,,
Commercial/ACA,Cigna,Bunionectomy / hallux valgus,28296,NOT FOUND,National,,,
Commercial/ACA,Elevance / Anthem BCBS,ACL reconstruction,29888,NOT FOUND,National,,,https://guidelines.carelonmedicalbenefitsmanagement.com/wp-content/uploads/2025/11/PDF-Joint-Surgery-2025-11-15.pdf
Commercial/ACA,Florida Blue / GuideWell,Arthroscopic rotator cuff repair,29827,NOT FOUND,National,,,
Commercial/ACA,Florida Blue / GuideWell,Bunionectomy / hallux valgus,28296,NOT FOUND,National,,,
Commercial/ACA,Florida Blue / GuideWell,Total shoulder arthroplasty,23472,NOT FOUND,National,,,
Commercial/ACA,Highmark,Bunionectomy / hallux valgus,28296,NOT FOUND,National,,,
Commercial/ACA,Highmark,Total ankle arthroplasty,27702,NOT FOUND,National,,,
Commercial/ACA,Humana,Total ankle arthroplasty,27702,NOT FOUND,National,,,https://mcp.humana.com/tad/tad_new/home.aspx
Commercial/ACA,Molina Healthcare,Arthroscopic rotator cuff repair,29827,NOT FOUND,National,,,
Commercial/ACA,Molina Healthcare,Cervical fusion / ACDF,22551,NOT FOUND,National,,,
Commercial/ACA,Molina Healthcare,Lumbar fusion,22612,NOT FOUND,National,,,
Commercial/ACA,Molina Healthcare,Lumbar microdiscectomy / decompression,63030,NOT FOUND,National,,,
Commercial/ACA,Premera Blue Cross,Bunionectomy / hallux valgus,28296,NOT FOUND,National,,,
Commercial/ACA,Regence BCBS,ACL reconstruction,29888,NOT FOUND,National,,,
Commercial/ACA,Regence BCBS,Bunionectomy / hallux valgus,28296,NOT FOUND,National,,,
Commercial/ACA,Regence BCBS,Cervical fusion / ACDF,22551,NOT FOUND,National,,,
Commercial/ACA,Regence BCBS,Lumbar microdiscectomy / decompression,63030,NOT FOUND,National,,,
Commercial/ACA,Regence BCBS,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,NOT FOUND,National,,,
Commercial/ACA,Regence BCBS,Total ankle arthroplasty,27702,NOT FOUND,National,,,
Commercial/ACA,Regence BCBS,Total hip arthroplasty (THA),27130,NOT FOUND,National,,,
Commercial/ACA,Regence BCBS,Total knee arthroplasty (TKA),27447,NOT FOUND,National,,,
Commercial/ACA,Regence BCBS,Total shoulder arthroplasty,23472,NOT FOUND,National,,,
Commercial/ACA,UnitedHealthcare,ACL reconstruction,29888,NOT FOUND,National,,,
Commercial/ACA,UnitedHealthcare,Arthroscopic rotator cuff repair,29827,NOT FOUND,National,,,
Commercial/ACA,UnitedHealthcare,Bunionectomy / hallux valgus,28296,NOT FOUND,National,,,
Commercial/ACA,UnitedHealthcare,Cervical fusion / ACDF,22551,NOT FOUND,National,,,
Commercial/ACA,UnitedHealthcare,Hip arthroscopy,29914-29916,NOT FOUND,National,,,
Commercial/ACA,UnitedHealthcare,Lumbar fusion,22612,NOT FOUND,National,,,
Commercial/ACA,UnitedHealthcare,Lumbar microdiscectomy / decompression,63030,NOT FOUND,National,,,
Commercial/ACA,UnitedHealthcare,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,NOT FOUND,National,,,
Commercial/ACA,UnitedHealthcare,Total ankle arthroplasty,27702,NOT FOUND,National,,,
Commercial/ACA,UnitedHealthcare,Total hip arthroplasty (THA),27130,NOT FOUND,National,,,
Commercial/ACA,UnitedHealthcare,Total knee arthroplasty (TKA),27447,NOT FOUND,National,,,
Commercial/ACA,UnitedHealthcare,Total shoulder arthroplasty,23472,NOT FOUND,National,,,
Medicaid,Georgia,All 12 procedures,,NOT FOUND,Georgia,GAMMIS - All Policy Manuals (Part II Policies and Procedures for Physi,,https://www.mmis.georgia.gov/portal/PubPart/AllPolicyManuals/tabId/70/Default.aspx
Medicaid,Missouri,All 12 procedures,,UNREACHABLE,Missouri,MO HealthNet Physicians Provider Manual (Section 13 Benefits and Limit,,https://mydss.mo.gov/sites/mydss/files/media/file/2026/08/Physicians-Provider-Manual-Published-08-10-2026.docx
Medicaid,Nevada,All 12 procedures,,UNREACHABLE,Nevada,Nevada Medicaid Services Manual (MSM) - Chapter 600 Physician Services,,http://dhcfp.nv.gov/Resources/AdminSupport/Manuals/MSM/MSMHome/
Medicaid,South Carolina,All 12 procedures,,UNREACHABLE,South Carolina,SCDHHS Physicians Services Provider Manual,,https://provider.scdhhs.gov/internet/pdf/manuals/Physicians/Manual.pdf
Medicaid,Kansas,All 12 procedures,,GATED,Kansas,KMAP Provider Manuals (General Benefits / Professional FFS manuals),,https://portal.kmap-state-ks.us/PublicPage/Public/ProviderManuals
Medicaid,New Hampshire,All 12 procedures,,GATED,New Hampshire,NH MMIS Health Enterprise Portal - Provider Manuals / Documents and Fo,,https://nhmmis.nh.gov/portals/wps/portal/DocumentLibrary
Medicaid,Mississippi,All 12 procedures,,CODE ONLY,Mississippi,DOM MESA Procedure Code Prior Authorization Required list (July 2026),,https://medicaid.ms.gov/wp-content/uploads/2026/07/DOM-MESA-Procedure-Code-Prior-Authorization-Required-JULY-2026-FNL-v2.xlsx
Medicaid,New York,All 12 procedures,,CODE ONLY,New York,eMedNY Physician Manual - Procedure Codes Section 5: Surgery,,https://www.emedny.org/ProviderManuals/Physician/PDFS/Physician%20Procedure%20Codes%20Sect5.pdf
Commercial/ACA,BCBS Michigan,ACL reconstruction,29888,NO PUBLIC CRITERIA (vendor),National,Musculoskeletal Services (TurningPoint program),,https://authorizations.bcbsm.com/prov-ref-msk-services.shtml
Commercial/ACA,BCBS Michigan,Arthroscopic rotator cuff repair,29827,NO PUBLIC CRITERIA (vendor),National,Musculoskeletal Services (TurningPoint program),,https://authorizations.bcbsm.com/prov-ref-msk-services.shtml
Commercial/ACA,BCBS Michigan,Cervical fusion / ACDF,22551,NO PUBLIC CRITERIA (vendor),National,Musculoskeletal Services (TurningPoint program),,https://authorizations.bcbsm.com/prov-ref-msk-services.shtml
Commercial/ACA,BCBS Michigan,Hip arthroscopy,29914-29916,NO PUBLIC CRITERIA (vendor),National,Musculoskeletal Services (TurningPoint program),,https://authorizations.bcbsm.com/prov-ref-msk-services.shtml
Commercial/ACA,BCBS Michigan,Lumbar fusion,22612,NO PUBLIC CRITERIA (vendor),National,Musculoskeletal Services (TurningPoint program),,https://authorizations.bcbsm.com/prov-ref-msk-services.shtml
Commercial/ACA,BCBS Michigan,Lumbar microdiscectomy / decompression,63030,NO PUBLIC CRITERIA (vendor),National,Musculoskeletal Services (TurningPoint program),,https://authorizations.bcbsm.com/prov-ref-msk-services.shtml
Commercial/ACA,BCBS Michigan,Total ankle arthroplasty,27702,NO PUBLIC CRITERIA (vendor),National,Musculoskeletal Services (TurningPoint program),,https://authorizations.bcbsm.com/prov-ref-msk-services.shtml
Commercial/ACA,BCBS Michigan,Total hip arthroplasty (THA),27130,NO PUBLIC CRITERIA (vendor),National,Musculoskeletal Services (TurningPoint program),,https://authorizations.bcbsm.com/prov-ref-msk-services.shtml
Commercial/ACA,BCBS Michigan,Total knee arthroplasty (TKA),27447,NO PUBLIC CRITERIA (vendor),National,Musculoskeletal Services (TurningPoint program),,https://authorizations.bcbsm.com/prov-ref-msk-services.shtml
Commercial/ACA,BCBS Michigan,Total shoulder arthroplasty,23472,NO PUBLIC CRITERIA (vendor),National,Musculoskeletal Services (TurningPoint program),,https://authorizations.bcbsm.com/prov-ref-msk-services.shtml
Commercial/ACA,BCBS North Carolina,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,NO PUBLIC CRITERIA (vendor),National,Blue Cross NC medical policy library (no MSK MRI policy; MCG used),,https://www.bcbsnc.com/providers/policies-guidelines-codes/medical-policies
Commercial/ACA,Blue Shield of California,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,NO PUBLIC CRITERIA (vendor),National,Evolent (RadMD) - Blue Shield of California Advanced Imaging program,,https://www1.radmd.com/all-health-plans/blue-shield-of-california
Commercial/ACA,Centene (Ambetter/WellCare),ACL reconstruction,29888,NO PUBLIC CRITERIA (vendor),National,,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/
Commercial/ACA,Centene (Ambetter/WellCare),Arthroscopic rotator cuff repair,29827,NO PUBLIC CRITERIA (vendor),National,,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/
Commercial/ACA,Centene (Ambetter/WellCare),Bunionectomy / hallux valgus,28296,NO PUBLIC CRITERIA (vendor),National,,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/
Commercial/ACA,Centene (Ambetter/WellCare),Cervical fusion / ACDF,22551,NO PUBLIC CRITERIA (vendor),National,,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/
Commercial/ACA,Centene (Ambetter/WellCare),Hip arthroscopy,29914-29916,NO PUBLIC CRITERIA (vendor),National,,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/
Commercial/ACA,Centene (Ambetter/WellCare),Lumbar fusion,22612,NO PUBLIC CRITERIA (vendor),National,,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/
Commercial/ACA,Centene (Ambetter/WellCare),Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,NO PUBLIC CRITERIA (vendor),National,,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/
Commercial/ACA,Centene (Ambetter/WellCare),Total ankle arthroplasty,27702,NO PUBLIC CRITERIA (vendor),National,,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/
Commercial/ACA,Centene (Ambetter/WellCare),Total hip arthroplasty (THA),27130,NO PUBLIC CRITERIA (vendor),National,,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/
Commercial/ACA,Centene (Ambetter/WellCare),Total knee arthroplasty (TKA),27447,NO PUBLIC CRITERIA (vendor),National,,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/
Commercial/ACA,Centene (Ambetter/WellCare),Total shoulder arthroplasty,23472,NO PUBLIC CRITERIA (vendor),National,,,https://www.ambetterhealth.com/en/ia/provider-resources/clinical-payment-policies/
Commercial/ACA,Highmark,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,NO PUBLIC CRITERIA (vendor),National,Highmark Medical Policy - eviCore Clinical Guidelines / Advanced Imagi,12/01/2025,https://securecms.highmark.com/content/medpolicy/en/highmark/pa/commercial/navigation/evicore-clinical-guidelines.html
Commercial/ACA,Highmark,Total shoulder arthroplasty,23472,NO PUBLIC CRITERIA (vendor),National,Highmark Medical Policy - eviCore Clinical Guidelines,,https://securecms.highmark.com/content/medpolicy/en/highmark/pa/commercial/navigation/evicore-clinical-guidelines.html
Commercial/ACA,Humana,ACL reconstruction,29888,NO PUBLIC CRITERIA (vendor),National,Knee Arthroscopy - Medicare Advantage,5/1/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=K
Commercial/ACA,Humana,Arthroscopic rotator cuff repair,29827,NO PUBLIC CRITERIA (vendor),National,Shoulder Arthroscopy - Medicare Advantage,1/2/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=S
Commercial/ACA,Humana,Bunionectomy / hallux valgus,28296,NO PUBLIC CRITERIA (vendor),National,Foot Surgical Procedures - Medicare Advantage,9/2/2025,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=F
Commercial/ACA,Humana,Cervical fusion / ACDF,22551,NO PUBLIC CRITERIA (vendor),National,Spinal Fusion Surgery - Medicare Advantage,5/1/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=S
Commercial/ACA,Humana,Hip arthroscopy,29914-29916,NO PUBLIC CRITERIA (vendor),National,Hip Arthroscopy - Medicare Advantage,1/2/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=H
Commercial/ACA,Humana,Lumbar fusion,22612,NO PUBLIC CRITERIA (vendor),National,Spinal Fusion Surgery - Medicare Advantage,5/1/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=S
Commercial/ACA,Humana,Lumbar microdiscectomy / decompression,63030,NO PUBLIC CRITERIA (vendor),National,Spinal Decompression Surgery - Medicare Advantage,2/2/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=S
Commercial/ACA,Humana,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,NO PUBLIC CRITERIA (vendor),National,Advanced Imaging of the Spine - Medicare Advantage,5/1/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=A
Commercial/ACA,Humana,Total hip arthroplasty (THA),27130,NO PUBLIC CRITERIA (vendor),National,Hip Arthroplasty - Medicare Advantage,3/16/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=H
Commercial/ACA,Humana,Total knee arthroplasty (TKA),27447,NO PUBLIC CRITERIA (vendor),National,Knee Arthroplasty - Medicare Advantage,3/16/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=K
Commercial/ACA,Humana,Total shoulder arthroplasty,23472,NO PUBLIC CRITERIA (vendor),National,Shoulder Arthroplasty - Medicare Advantage,8/3/2026,https://mcp.humana.com/tad/tad_new/Search.aspx?searchtype=beginswith&policyType=medical&docbegin=S
Commercial/ACA,Molina Healthcare,ACL reconstruction,29888,NO PUBLIC CRITERIA (vendor),National,,,https://www.molinaclinicalpolicy.com/
Commercial/ACA,Molina Healthcare,Hip arthroscopy,29914-29916,NO PUBLIC CRITERIA (vendor),National,,,https://www.molinaclinicalpolicy.com/
Commercial/ACA,Molina Healthcare,Total ankle arthroplasty,27702,NO PUBLIC CRITERIA (vendor),National,,,https://www.molinaclinicalpolicy.com/
Commercial/ACA,Molina Healthcare,Total hip arthroplasty (THA),27130,NO PUBLIC CRITERIA (vendor),National,,,https://www.molinaclinicalpolicy.com/
Commercial/ACA,Molina Healthcare,Total knee arthroplasty (TKA),27447,NO PUBLIC CRITERIA (vendor),National,,,https://www.molinaclinicalpolicy.com/
Commercial/ACA,Molina Healthcare,Total shoulder arthroplasty,23472,NO PUBLIC CRITERIA (vendor),National,,,https://www.molinaclinicalpolicy.com/
Commercial/ACA,Premera Blue Cross,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,NO PUBLIC CRITERIA (vendor),National,Carelon Medical Benefits Management (Premera utilization review page),,https://www.premera.com/wa/provider/utilization-review/carelon-medical-benefits-management/
Commercial/ACA,UPMC Health Plan,ACL reconstruction,29888,NO PUBLIC CRITERIA (vendor),National,UPMC Health Plan uses Interqual criteria sets for prior authorizations,05/2024,https://www.upmchealthplan.com/en/providers/medical/announcements-updates/announcements/2024-announcements/05-03-interqual-criteria-sets-for-prior-authorizations
Commercial/ACA,UPMC Health Plan,Arthroscopic rotator cuff repair,29827,NO PUBLIC CRITERIA (vendor),National,UPMC Health Plan uses Interqual criteria sets for prior authorizations,05/2024,https://www.upmchealthplan.com/en/providers/medical/announcements-updates/announcements/2024-announcements/05-03-interqual-criteria-sets-for-prior-authorizations
Commercial/ACA,UPMC Health Plan,Bunionectomy / hallux valgus,28296,NO PUBLIC CRITERIA (vendor),National,UPMC Health Plan provider announcement: Musculoskeletal procedures upd,02/01/2024,https://www.upmchealthplan.com/en/providers/medical/announcements-updates/announcements/2023-announcements/11-30-musculoskeletal-procedures-update
Commercial/ACA,UPMC Health Plan,Cervical fusion / ACDF,22551,NO PUBLIC CRITERIA (vendor),National,UPMC Health Plan uses Interqual criteria sets for prior authorizations,05/2024,https://www.upmchealthplan.com/en/providers/medical/announcements-updates/announcements/2024-announcements/05-03-interqual-criteria-sets-for-prior-authorizations
Commercial/ACA,UPMC Health Plan,Hip arthroscopy,29914-29916,NO PUBLIC CRITERIA (vendor),National,UPMC Health Plan uses Interqual criteria sets for prior authorizations,05/2024,https://www.upmchealthplan.com/en/providers/medical/announcements-updates/announcements/2024-announcements/05-03-interqual-criteria-sets-for-prior-authorizations
Commercial/ACA,UPMC Health Plan,Lumbar fusion,22612,NO PUBLIC CRITERIA (vendor),National,UPMC Health Plan uses Interqual criteria sets for prior authorizations,05/2024,https://www.upmchealthplan.com/en/providers/medical/announcements-updates/announcements/2024-announcements/05-03-interqual-criteria-sets-for-prior-authorizations
Commercial/ACA,UPMC Health Plan,Lumbar microdiscectomy / decompression,63030,NO PUBLIC CRITERIA (vendor),National,UPMC Health Plan uses Interqual criteria sets for prior authorizations,05/2024,https://www.upmchealthplan.com/en/providers/medical/announcements-updates/announcements/2024-announcements/05-03-interqual-criteria-sets-for-prior-authorizations
Commercial/ACA,UPMC Health Plan,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,NO PUBLIC CRITERIA (vendor),National,UPMC Health Plan uses Interqual criteria sets for prior authorizations,05/2024,https://www.upmchealthplan.com/en/providers/medical/announcements-updates/announcements/2024-announcements/05-03-interqual-criteria-sets-for-prior-authorizations
Commercial/ACA,UPMC Health Plan,Total ankle arthroplasty,27702,NO PUBLIC CRITERIA (vendor),National,UPMC Health Plan uses Interqual criteria sets for prior authorizations,05/2024,https://www.upmchealthplan.com/en/providers/medical/announcements-updates/announcements/2024-announcements/05-03-interqual-criteria-sets-for-prior-authorizations
Commercial/ACA,UPMC Health Plan,Total hip arthroplasty (THA),27130,NO PUBLIC CRITERIA (vendor),National,UPMC Health Plan uses Interqual criteria sets for prior authorizations,05/2024,https://www.upmchealthplan.com/en/providers/medical/announcements-updates/announcements/2024-announcements/05-03-interqual-criteria-sets-for-prior-authorizations
Commercial/ACA,UPMC Health Plan,Total knee arthroplasty (TKA),27447,NO PUBLIC CRITERIA (vendor),National,UPMC Health Plan uses Interqual criteria sets for prior authorizations,05/2024,https://www.upmchealthplan.com/en/providers/medical/announcements-updates/announcements/2024-announcements/05-03-interqual-criteria-sets-for-prior-authorizations
Commercial/ACA,UPMC Health Plan,Total shoulder arthroplasty,23472,NO PUBLIC CRITERIA (vendor),National,UPMC Health Plan uses Interqual criteria sets for prior authorizations,05/2024,https://www.upmchealthplan.com/en/providers/medical/announcements-updates/announcements/2024-announcements/05-03-interqual-criteria-sets-for-prior-authorizations
Commercial/ACA,Wellmark BCBS,ACL reconstruction,29888,NO PUBLIC CRITERIA (vendor),National,InterQual and SmartSheets (Wellmark provider page),,https://www.wellmark.com/provider/medical-policies-authorizations/interqual-and-smartsheets
Commercial/ACA,Wellmark BCBS,Arthroscopic rotator cuff repair,29827,NO PUBLIC CRITERIA (vendor),National,InterQual and SmartSheets (Wellmark provider page),,https://www.wellmark.com/provider/medical-policies-authorizations/interqual-and-smartsheets
Commercial/ACA,Wellmark BCBS,Bunionectomy / hallux valgus,28296,NO PUBLIC CRITERIA (vendor),National,InterQual and SmartSheets (Wellmark provider page),,https://www.wellmark.com/provider/medical-policies-authorizations/interqual-and-smartsheets
Commercial/ACA,Wellmark BCBS,Cervical fusion / ACDF,22551,NO PUBLIC CRITERIA (vendor),National,InterQual and SmartSheets (Wellmark provider page),,https://www.wellmark.com/provider/medical-policies-authorizations/interqual-and-smartsheets
Commercial/ACA,Wellmark BCBS,Hip arthroscopy,29914-29916,NO PUBLIC CRITERIA (vendor),National,InterQual and SmartSheets (Wellmark provider page),,https://www.wellmark.com/provider/medical-policies-authorizations/interqual-and-smartsheets
Commercial/ACA,Wellmark BCBS,Lumbar fusion,22612,NO PUBLIC CRITERIA (vendor),National,InterQual and SmartSheets (Wellmark provider page),,https://www.wellmark.com/provider/medical-policies-authorizations/interqual-and-smartsheets
Commercial/ACA,Wellmark BCBS,Lumbar microdiscectomy / decompression,63030,NO PUBLIC CRITERIA (vendor),National,InterQual and SmartSheets (Wellmark provider page),,https://www.wellmark.com/provider/medical-policies-authorizations/interqual-and-smartsheets
Commercial/ACA,Wellmark BCBS,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,NO PUBLIC CRITERIA (vendor),National,EviCore specialty authorizations (Wellmark provider page),,https://www.wellmark.com/provider/medical-policies-authorizations/manage-authorizations/evicore-specialty-authorizations
Commercial/ACA,Wellmark BCBS,Total ankle arthroplasty,27702,NO PUBLIC CRITERIA (vendor),National,InterQual and SmartSheets (Wellmark provider page),,https://www.wellmark.com/provider/medical-policies-authorizations/interqual-and-smartsheets
Commercial/ACA,Wellmark BCBS,Total hip arthroplasty (THA),27130,NO PUBLIC CRITERIA (vendor),National,InterQual and SmartSheets (Wellmark provider page),,https://www.wellmark.com/provider/medical-policies-authorizations/interqual-and-smartsheets
Commercial/ACA,Wellmark BCBS,Total knee arthroplasty (TKA),27447,NO PUBLIC CRITERIA (vendor),National,InterQual and SmartSheets (Wellmark provider page),,https://www.wellmark.com/provider/medical-policies-authorizations/interqual-and-smartsheets
Commercial/ACA,Wellmark BCBS,Total shoulder arthroplasty,23472,NO PUBLIC CRITERIA (vendor),National,InterQual and SmartSheets (Wellmark provider page),,https://www.wellmark.com/provider/medical-policies-authorizations/interqual-and-smartsheets
Medicare Advantage,CMS (all MAC jurisdictions),ACL reconstruction,29888,NO LCD — general medical necessity,All 51 states,CMS Medicare Coverage Database (no LCD for this procedure),,https://www.cms.gov/medicare-coverage-database
Medicare Advantage,CMS (all MAC jurisdictions),Arthroscopic rotator cuff repair,29827,NO LCD — general medical necessity,All 51 states,CMS Medicare Coverage Database (no LCD for this procedure),,https://www.cms.gov/medicare-coverage-database
Medicare Advantage,CMS (all MAC jurisdictions),Bunionectomy / hallux valgus,28296,NO LCD — general medical necessity,All 51 states,CMS Medicare Coverage Database (no LCD for this procedure),,https://www.cms.gov/medicare-coverage-database
Medicare Advantage,CMS (all MAC jurisdictions),Hip arthroscopy,29914-29916,NO LCD — general medical necessity,All 51 states,CMS Medicare Coverage Database (no LCD for this procedure),,https://www.cms.gov/medicare-coverage-database
Medicare Advantage,CMS (all MAC jurisdictions),Lumbar fusion,22612,NO LCD — general medical necessity,All 51 states,CMS Medicare Coverage Database (no LCD for this procedure),,https://www.cms.gov/medicare-coverage-database
Medicare Advantage,CMS (all MAC jurisdictions),Lumbar microdiscectomy / decompression,63030,NO LCD — general medical necessity,All 51 states,CMS Medicare Coverage Database (no LCD for this procedure),,https://www.cms.gov/medicare-coverage-database
Medicare Advantage,CMS (all MAC jurisdictions),Total ankle arthroplasty,27702,NO LCD — general medical necessity,All 51 states,CMS Medicare Coverage Database (no LCD for this procedure),,https://www.cms.gov/medicare-coverage-database
Medicare Advantage,CMS (all MAC jurisdictions),Total shoulder arthroplasty,23472,NO LCD — general medical necessity,All 51 states,CMS Medicare Coverage Database (no LCD for this procedure),,https://www.cms.gov/medicare-coverage-database
Commercial/ACA,Aetna (CVS Health),Bunionectomy / hallux valgus,28296,VERIFIED,National,Bunionectomy (CPB 0629),Last Review Date: 2025-12-11,https://www.aetna.com/cpb/medical/data/600_699/0629.html
Commercial/ACA,Aetna (CVS Health),Cervical fusion / ACDF,22551,VERIFIED,National,Spinal Surgery: Laminectomy and Fusion (CPB 0743),2026-07-30,https://www.aetna.com/cpb/medical/data/700_799/0743.html
